property_type,surface_total_in_m2,borough,lat,lon
apartment,,Cuajimalpa de Morelos,19.353077,-99.262659
house,137.0,Gustavo A. Madero,,
house,1450.0,Tlalpan,19.199665,-99.153915
house,,Tlalpan,19.271706,-99.149786
apartment,0.0,Iztacalco,,
house,,Iztapalapa,19.36204,-99.126517
apartment,,Álvaro Obregón,19.377404,-99.193301
house,,Miguel Hidalgo,19.396328,-99.187016
house,,Xochimilco,19.26879,-99.122514
apartment,,Miguel Hidalgo,19.443903,-99.171681
apartment,,Cuauhtémoc,19.410553,-99.133858
apartment,0.0,Gustavo A. Madero,19.5226965,-99.1559565
house,102.0,Cuauhtémoc,19.41498,-99.177444
apartment,,Benito Juárez,19.395794,-99.138619
apartment,,Coyoacán,19.307417,-99.125191
apartment,,Venustiano Carranza,19.406622,-99.124168
apartment,,Azcapotzalco,19.485643,-99.210749
apartment,,Cuauhtémoc,19.427754,-99.171109
apartment,0.0,Cuajimalpa de Morelos,19.3499358,-99.2906864
house,19490.0,Tulum,20.209438,-87.467918
house,,Coyoacán,19.338133,-99.161881
house,,Álvaro Obregón,19.387764,-99.205826
house,,Tlalpan,19.284397,-99.195494
house,,Coyoacán,19.353813,-99.163605
house,,Benito Juárez,19.391253,-99.168867
apartment,,Benito Juárez,19.379048,-99.148896
apartment,0.0,Azcapotzalco,19.4734554757,-99.1856405139
house,538.0,Benito Juárez,21.1673759,-86.8207766
apartment,,Iztapalapa,19.386663,-99.029049
house,,Gustavo A. Madero,19.508795,-99.125714
house,85.0,Coyoacán,19.3303807,-99.1463071
apartment,,Benito Juárez,21.119003,-86.768285
apartment,,Miguel Hidalgo,19.401312,-99.173525
apartment,,Azcapotzalco,19.504985,-99.208557
house,1426.0,Álvaro Obregón,19.3138847289,-99.2115466297
house,259.0,Benito Juárez,21.177392,-86.8180099
apartment,0.0,Benito Juárez,21.129547,-86.817017
house,250.0,Álvaro Obregón,19.3376755,-99.2193671
apartment,,Cuauhtémoc,19.404661,-99.133858
house,,Coyoacán,19.345409,-99.125712
house,200.0,Tlalpan,19.2463992247,-99.143296363
apartment,,Álvaro Obregón,19.368823,-99.224603
house,419.0,Benito Juárez,21.129547,-86.817017
apartment,,Benito Juárez,19.36269,-99.150565
apartment,0.0,Playa del Carmen,,
house,,Álvaro Obregón,19.353288,-99.244721
apartment,,Cuauhtémoc,19.427072,-99.166079
apartment,,Cuauhtémoc,19.444918,-99.139807
apartment,,Cuauhtémoc,19.443178,-99.144234
apartment,,Álvaro Obregón,19.316805,-99.14943
house,110.0,Benito Juárez,21.129547,-86.817017
apartment,,Cuauhtémoc,19.452049,-99.144241
apartment,,Azcapotzalco,19.4685547,-99.1600606
apartment,,Miguel Hidalgo,19.441879,-99.167819
apartment,,Cuauhtémoc,19.405298,-99.164986
house,108.0,Tlalpan,19.2764735429,-99.2080684751
apartment,,Venustiano Carranza,19.427443,-99.096555
apartment,0.0,Cuajimalpa de Morelos,,
apartment,,Coyoacán,19.323772,-99.116562
apartment,,Benito Juárez,19.396018,-99.147827
house,110.0,Benito Juárez,,
apartment,,Venustiano Carranza,19.41526,-99.075364
house,0.0,Benito Juárez,21.139271,-86.859673
apartment,,Álvaro Obregón,19.359748,-99.253796
house,,Álvaro Obregón,,
house,,Álvaro Obregón,19.338942,-99.240301
apartment,,Benito Juárez,19.396018,-99.147827
house,2000.0,Benito Juárez,21.139086,-86.84964
apartment,,Benito Juárez,19.371321,-99.140985
apartment,,Álvaro Obregón,19.335033,-99.200347
apartment,,Miguel Hidalgo,19.428324,-99.176337
house,,Tlalpan,19.283408,-99.218643
apartment,,Álvaro Obregón,19.365175,-99.230064
apartment,,Cuauhtémoc,19.459793,-99.140935
apartment,188.0,Álvaro Obregón,19.3630571092,-99.2761516571
apartment,,Coyoacán,19.326922,-99.121203
apartment,110.0,Tulum,20.1997998,-87.454707
apartment,,Miguel Hidalgo,19.437045,-99.192255
apartment,,Miguel Hidalgo,19.420166,-99.220367
house,88.0,Tulum,20.209438,-87.467918
house,,Coyoacán,19.341067,-99.122123
apartment,,Benito Juárez,19.396705,-99.181902
apartment,,Cuauhtémoc,19.458968,-99.152898
house,,Coyoacán,19.312981,-99.131271
house,,Cuajimalpa de Morelos,19.354464,-99.285307
apartment,48.0,Gustavo A. Madero,19.527513,-99.1518421
house,,Benito Juárez,23.634501,-102.552788
apartment,130.0,Benito Juárez,19.3884015,-99.1476026
apartment,,Cuauhtémoc,19.418844,-99.132357
apartment,,Cuajimalpa de Morelos,,
house,300.0,Benito Juárez,21.1334564148,-86.7593078624
apartment,,Coyoacán,19.336994,-99.162355
apartment,,Benito Juárez,19.367931,-99.170262
house,0.0,Zacatecas,22.7593335,-102.5667365
house,,Venustiano Carranza,19.412432,-99.098657
apartment,,Tláhuac,19.299713,-99.037758
apartment,,Álvaro Obregón,,
apartment,,Benito Juárez,19.362864,-99.173988
apartment,,Gustavo A. Madero,19.487729,-99.10539
apartment,,Álvaro Obregón,,
apartment,85.0,Iztacalco,19.3935712,-99.113412
apartment,145.0,Solidaridad,,
apartment,,Álvaro Obregón,19.3647167,-99.1950594
house,0.0,Solidaridad,20.6566416,-87.0518092
house,98.0,Solidaridad,20.6819504699,-87.0522817969
apartment,,Iztapalapa,19.359645,-99.138745
apartment,,Solidaridad,20.627593,-87.069489
house,86.0,Coyoacán,19.310879,-99.138695
apartment,,Iztacalco,19.403028,-99.106774
apartment,25.0,Tlalpan,19.2963742,-99.1186279
apartment,,Álvaro Obregón,19.358585,-99.185753
house,,Iztapalapa,19.370405,-99.108882
apartment,160.0,Benito Juárez,21.161908,-86.8515279
house,,Coyoacán,19.308756,-99.107574
apartment,,Miguel Hidalgo,19.445954,-99.176116
house,,Iztapalapa,19.325394,-99.094573
house,263.0,Solidaridad,20.613375,-87.089897
apartment,,Cuauhtémoc,19.410553,-99.133858
apartment,0.0,Iztapalapa,19.3513303772,-99.0816683695
store,,Cuajimalpa de Morelos,19.366254,-99.287392
house,,Cuauhtémoc,19.439644,-99.139649
apartment,0.0,Benito Juárez,19.3834049,-99.1697365
house,526.0,Solidaridad,,
house,,La Magdalena Contreras,19.307591,-99.239991
apartment,,Cuauhtémoc,19.405298,-99.164986
apartment,,Iztacalco,19.400731,-99.125466
house,,Gustavo A. Madero,19.549539,-99.129343
apartment,,Gustavo A. Madero,19.469681,-99.086136
apartment,,Gustavo A. Madero,19.492992,-99.149765
apartment,,Álvaro Obregón,19.391592,-99.189134
apartment,0.0,Benito Juárez,19.3954239765,-99.1330182552
apartment,,Tlalpan,19.271467,-99.146309
apartment,,Benito Juárez,19.40012,-99.1532
apartment,53.0,Xochimilco,,
house,,La Magdalena Contreras,,
apartment,,Miguel Hidalgo,19.43475,-99.189814
apartment,55.0,Xochimilco,19.2572314,-99.1029664
apartment,,Benito Juárez,19.382768,-99.165454
apartment,,Azcapotzalco,19.473486,-99.185753
house,,Miguel Hidalgo,19.434723,-99.175887
apartment,62.0,Venustiano Carranza,19.4214889,-99.0999336
store,0.0,Benito Juárez,,
house,1320.0,Álvaro Obregón,19.320576,-99.20929
apartment,1617.0,Miguel Hidalgo,19.4351096398,-99.2149114609
apartment,,Iztacalco,19.400731,-99.125466
apartment,66.0,Cuauhtémoc,19.4151638,-99.1789099
apartment,,Miguel Hidalgo,19.449997,-99.18117
apartment,,Azcapotzalco,19.49662,-99.185876
apartment,0.0,Tulum,20.1923208742,-87.4630326033
apartment,,Benito Juárez,19.381691,-99.158135
apartment,,Cuauhtémoc,19.456439,-99.144414
house,,Álvaro Obregón,19.320067,-99.203696
apartment,,Cuauhtémoc,19.410553,-99.133858
apartment,,Gustavo A. Madero,19.475745,-99.095737
apartment,,Benito Juárez,23.634501,-102.552788
apartment,,Azcapotzalco,19.465454,-99.162665
apartment,,Cuauhtémoc,19.407187,-99.172405
apartment,,Miguel Hidalgo,19.401079,-99.24807
house,,Álvaro Obregón,19.367215,-99.222138
apartment,94.0,Benito Juárez,19.362864,-99.173988
apartment,,Benito Juárez,19.39942,-99.141673
apartment,,Iztapalapa,19.383948,-99.067884
house,,Tlalpan,19.276082,-99.166208
apartment,,Benito Juárez,19.382094,-99.144152
apartment,,Cuauhtémoc,19.451919,-99.131919
apartment,,Álvaro Obregón,19.386852,-99.194748
apartment,350.0,Cuajimalpa de Morelos,19.3470575,-99.2965778
apartment,,Gustavo A. Madero,19.466954,-99.117546
apartment,136.0,Solidaridad,20.65593,-87.05368
house,,Álvaro Obregón,19.380474,-99.245664
house,,Miguel Hidalgo,19.432901,-99.213075
apartment,,Coyoacán,19.365467,-99.196621
apartment,427.0,Benito Juárez,21.129547,-86.817017
apartment,,Miguel Hidalgo,,
apartment,,Álvaro Obregón,19.378533,-99.187561
apartment,,Gustavo A. Madero,19.469689,-99.085457
apartment,,Xochimilco,19.264168,-99.119228
apartment,,Benito Juárez,19.38512,-99.164668
house,,La Magdalena Contreras,19.304126,-99.244775
apartment,300.0,Benito Juárez,21.146414,-86.843369
apartment,206.0,Miguel Hidalgo,,
apartment,,Venustiano Carranza,19.421296,-99.06582
apartment,,Iztapalapa,19.326215,-99.044148
house,,Tlalpan,19.283032,-99.22548
apartment,,Coyoacán,19.349449,-99.147779
apartment,,Tláhuac,19.302192,-99.049333
apartment,83.0,Benito Juárez,19.3924296,-99.1584618
apartment,,Azcapotzalco,19.504985,-99.208557
house,429.0,Álvaro Obregón,19.3440464,-99.2162263
house,146.0,Coyoacán,19.3437444,-99.1561883
house,41.0,Benito Juárez,19.3670983,-99.1624422
apartment,,Azcapotzalco,19.469769,-99.157379
apartment,,Álvaro Obregón,19.396247,-99.190282
apartment,,Benito Juárez,19.375847,-99.159897
house,,Miguel Hidalgo,19.467096,-99.209984
apartment,,Gustavo A. Madero,19.525082,-99.144372
apartment,,Coyoacán,19.346767,-99.123658
apartment,,Gustavo A. Madero,19.469681,-99.086136
apartment,357.0,Miguel Hidalgo,,
apartment,101.0,Cuauhtémoc,19.4152179,-99.1790121
apartment,112.0,Miguel Hidalgo,,
apartment,,Venustiano Carranza,19.413523,-99.096141
apartment,217.0,Cuajimalpa de Morelos,,
house,,Iztacalco,,
apartment,,Miguel Hidalgo,19.404918,-99.1978
house,,Gustavo A. Madero,19.456919,-99.105499
apartment,,Benito Juárez,,
house,,Azcapotzalco,19.464928,-99.180214
house,391.0,Coyoacán,,
apartment,,Miguel Hidalgo,19.443357,-99.207884
store,175.0,Cuauhtémoc,19.412235,-99.129707
apartment,,Miguel Hidalgo,19.424444,-99.217088
apartment,0.0,Benito Juárez,19.3923907,-99.1580693
apartment,0.0,Miguel Hidalgo,19.3908901686,-99.2645967007
apartment,0.0,Benito Juárez,,
apartment,66.0,Benito Juárez,19.3807986,-99.1560623
apartment,,Benito Juárez,19.399831,-99.149236
apartment,,Miguel Hidalgo,23.634501,-102.552788
house,,Cuauhtémoc,19.451801,-99.153199
house,220.0,Benito Juárez,21.0983813,-86.867206
apartment,48.0,Tláhuac,19.2834536638,-99.0550169349
apartment,,Iztacalco,19.397303,-99.123867
PH,176.0,Benito Juárez,19.3699084,-99.1452148
house,,Tláhuac,19.307883,-99.056719
apartment,,Benito Juárez,19.380937,-99.179545
apartment,,Cuauhtémoc,19.43072,-99.169627
apartment,,Miguel Hidalgo,19.400249,-99.177444
house,200.0,Cuajimalpa de Morelos,19.3792043,-99.2576155
apartment,68.0,Benito Juárez,,
apartment,0.0,Benito Juárez,21.1105772788,-86.8537859927
house,210.0,Coyoacán,19.336828,-99.135239
apartment,,Benito Juárez,19.394358,-99.177444
apartment,285.0,Cuajimalpa de Morelos,19.392937,-99.263313
house,,Benito Juárez,19.381407,-99.135302
house,142.0,La Magdalena Contreras,19.312578,-99.236298
apartment,0.0,Cuauhtémoc,19.4553585442,-99.1632923484
house,,La Magdalena Contreras,19.317922,-99.236124
apartment,91.0,Coyoacán,19.3331432,-99.1103398
apartment,64.0,Coyoacán,19.3465713713,-99.1256495565
apartment,,Venustiano Carranza,19.429916,-99.108826
apartment,0.0,Miguel Hidalgo,,
apartment,,Iztapalapa,19.38855,-99.055877
house,,Álvaro Obregón,,
house,,Álvaro Obregón,19.340847,-99.22491
apartment,,Miguel Hidalgo,19.454332,-99.200287
house,7500.0,Benito Juárez,21.082655,-86.857162
apartment,0.0,Tlalpan,19.2908179,-99.1348925
apartment,97.0,Coyoacán,19.3161923743,-99.1214597227
apartment,0.0,Álvaro Obregón,19.3850289,-99.1944048
apartment,160.0,Playa del Carmen,20.6205688864,-87.0783920284
apartment,0.0,Benito Juárez,21.1902642,-86.8198375
apartment,,Cuauhtémoc,19.446829,-99.159454
house,,Benito Juárez,19.40158,-99.15333
apartment,,Benito Juárez,19.371132,-99.173156
apartment,,Benito Juárez,19.383364,-99.168089
house,,Iztapalapa,19.319344,-99.097025
apartment,,Miguel Hidalgo,19.433077,-99.198212
apartment,0.0,Álvaro Obregón,19.3635891,-99.2785151
house,,Iztacalco,19.378729,-99.131032
house,206.0,Benito Juárez,20.9135219638,-86.8743252754
apartment,0.0,Playa del Carmen,20.6359645986,-87.0631675422
apartment,,Álvaro Obregón,,
apartment,,Coyoacán,19.348122,-99.125716
apartment,,Miguel Hidalgo,,
house,,La Magdalena Contreras,19.304948,-99.237674
apartment,135.0,Benito Juárez,21.139086,-86.84964
store,176.0,Álvaro Obregón,19.3446502,-99.1884795
apartment,,Benito Juárez,21.209139,-86.804112
house,0.0,Solidaridad,20.63719,-87.089897
apartment,0.0,Miguel Hidalgo,19.420166,-99.220367
apartment,,Miguel Hidalgo,23.634501,-102.552788
apartment,,Azcapotzalco,19.47517,-99.152534
apartment,,Azcapotzalco,19.472155,-99.161186
apartment,0.0,Álvaro Obregón,19.3862785,-99.24329
apartment,,Cuauhtémoc,19.404661,-99.133858
apartment,,Solidaridad,20.631997,-87.072809
apartment,,Azcapotzalco,19.469769,-99.157379
apartment,,Gustavo A. Madero,19.519303,-99.136218
apartment,,Cuajimalpa de Morelos,23.634501,-102.552788
house,275.0,Coyoacán,19.3439785,-99.1248628
apartment,79.0,Benito Juárez,19.3989090024,-99.1684146971
house,,Tlalpan,19.272814,-99.16774
house,140.0,Solidaridad,20.626583,-87.078659
house,,Tlalpan,19.274141,-99.166374
apartment,0.0,Solidaridad,20.6411904667,-87.0639681816
apartment,66.0,Cuauhtémoc,19.4211791,-99.1412912
house,0.0,Benito Juárez,21.151917,-86.899796
apartment,,Benito Juárez,19.370046,-99.146155
house,,Xochimilco,19.312653,-99.134107
apartment,62.0,Benito Juárez,19.394358,-99.177444
house,,Coyoacán,19.311361,-99.109672
house,579.0,Álvaro Obregón,19.3324656266,-99.2559626698
apartment,,Benito Juárez,19.39942,-99.141673
apartment,,Benito Juárez,19.399375,-99.149986
apartment,,Playa del Carmen,20.636861,-87.068123
house,,Benito Juárez,19.40158,-99.15333
house,620.0,Benito Juárez,21.129547,-86.817017
apartment,,Benito Juárez,19.391557,-99.180726
apartment,,Benito Juárez,19.367025,-99.170349
apartment,,Álvaro Obregón,19.386852,-99.194748
apartment,0.0,Solidaridad,,
house,,Solidaridad,,
apartment,,Coyoacán,19.305561,-99.171219
house,638.0,Miguel Hidalgo,19.401079,-99.24807
house,,Xochimilco,19.279534,-99.111874
apartment,,Azcapotzalco,19.479793,-99.186945
apartment,146.0,Solidaridad,,
apartment,,Benito Juárez,19.371321,-99.140985
apartment,,Álvaro Obregón,19.368823,-99.224603
apartment,,Álvaro Obregón,19.337447,-99.224257
house,,Miguel Hidalgo,19.399689,-99.188522
house,,Benito Juárez,,
house,,Miguel Hidalgo,19.398049,-99.252857
apartment,220.0,Miguel Hidalgo,,
apartment,,Tabasco,23.634501,-102.552788
house,316.0,Miguel Hidalgo,19.401079,-99.24807
apartment,,Cuauhtémoc,19.428026,-99.14864
apartment,,Cuajimalpa de Morelos,23.634501,-102.552788
apartment,,Gustavo A. Madero,19.474285,-99.084981
apartment,,Coyoacán,19.307417,-99.125191
apartment,,Benito Juárez,19.39557,-99.132937
