property_type,price_aprox_usd,surface_total_in_m2,borough,lat,lon
house,289844.37,371.0,Benito Juárez,21.129547,-86.817017
apartment,368805.38,,Miguel Hidalgo,19.390982,-99.243919
apartment,148094.96,,Álvaro Obregón,19.335033,-99.200347
apartment,337720.36,,Miguel Hidalgo,23.634501,-102.552788
house,23714.54,56.0,Iztapalapa,19.342083,-99.0532159
house,684924.28,,Benito Juárez,19.380392,-99.14769
apartment,330000.0,0.0,Solidaridad,20.6295586,-87.0738851
house,168596.74,,Tlalpan,19.2704,-99.219748
apartment,196784.01,,Benito Juárez,19.400004,-99.16735
apartment,157833.43,,Gustavo A. Madero,19.494455,-99.127874
apartment,39573.87,,Azcapotzalco,19.496071,-99.204255
apartment,119071.45,,Benito Juárez,19.366315,-99.162803
apartment,139064.92,69.0,Azcapotzalco,19.473486,-99.185753
apartment,77449.13,,Benito Juárez,19.395835,-99.135191
apartment,60238.19,,Benito Juárez,19.398983,-99.154034
apartment,41095.45,,Tlalpan,19.194247,-99.141976
house,56914.89,110.0,Benito Juárez,,
apartment,37934.26,,Álvaro Obregón,19.343099,-99.216976
apartment,1159043.0,229.0,Miguel Hidalgo,,
house,183875.82,,Cuauhtémoc,19.456544,-99.127136
apartment,523600.0,0.0,Benito Juárez,21.1650106121,-86.820127219
apartment,29363.91,,Cuauhtémoc,19.457352,-99.155304
apartment,175000.0,90.0,Solidaridad,20.626583,-87.078659
apartment,1731345.0,207.0,Miguel Hidalgo,,
apartment,63223.78,,Coyoacán,19.301865,-99.108429
house,320333.82,,Benito Juárez,19.394073,-99.153915
apartment,152369.31,82.0,Álvaro Obregón,19.33923,-99.218987
house,176541.57,,La Magdalena Contreras,19.317653,-99.236291
apartment,41727.69,,Iztapalapa,19.317234,-99.089518
apartment,58990.73,,Coyoacán,19.314831,-99.140445
apartment,226578.22,,Benito Juárez,19.39912,-99.141464
apartment,2897756.6,,Cuajimalpa de Morelos,19.353077,-99.262659
house,81683.41,137.0,Gustavo A. Madero,,
house,147557.13,1450.0,Tlalpan,19.199665,-99.153915
house,276604.03,,Tlalpan,19.271706,-99.149786
apartment,27403.46,0.0,Iztacalco,,
house,139652.29,,Iztapalapa,19.36204,-99.126517
apartment,91411.04,,Álvaro Obregón,19.377404,-99.193301
house,71653.61,,Miguel Hidalgo,19.396328,-99.187016
house,94835.67,,Xochimilco,19.26879,-99.122514
apartment,52453.03,,Miguel Hidalgo,19.443903,-99.171681
apartment,78422.77,,Cuauhtémoc,19.410553,-99.133858
apartment,24399.11,0.0,Gustavo A. Madero,19.5226965,-99.1559565
house,471655.85,102.0,Cuauhtémoc,19.41498,-99.177444
apartment,83174.41,,Benito Juárez,19.395794,-99.138619
apartment,36882.11,,Coyoacán,19.307417,-99.125191
apartment,104846.1,,Venustiano Carranza,19.406622,-99.124168
apartment,64804.37,,Azcapotzalco,19.485643,-99.210749
apartment,79556.59,,Cuauhtémoc,19.427754,-99.171109
apartment,147557.13,0.0,Cuajimalpa de Morelos,19.3499358,-99.2906864
house,6000000.0,19490.0,Tulum,20.209438,-87.467918
house,447835.11,,Coyoacán,19.338133,-99.161881
